event_name,event_date,event_url,fighter_1,fighter_2,odds_1_avg,odds_2_avg,odds_1_best,odds_2_best,n_books_1,n_books_2,imp_1,imp_2,overround,fair_1,fair_2
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Dricus Du Plessis,Khamzat Chimaev,204,-254,220,-180,7,7,0.32894736842105265,0.7175141242937854,1.0464614927148381,0.3143425445762591,0.6856574554237408
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Aaron Pico,Lerone Murphy,-157,128,-145,140,6,6,0.6108949416342413,0.43859649122807015,1.0494914328623115,0.5820866397814493,0.41791336021855074
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Carlos Prates,Geoff Neal,-200,160,-185,165,6,6,0.6666666666666666,0.38461538461538464,1.0512820512820513,0.6341463414634145,0.36585365853658536
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Jared Cannonier,Michael Page,174,-215,188,-200,6,6,0.36496350364963503,0.6825396825396826,1.0475031861893176,0.34841278619621724,0.6515872138037828
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Kai Asakura,Tim Elliott,-327,254,-300,265,6,6,0.765807962529274,0.2824858757062147,1.0482938382354887,0.7305279632457812,0.26947203675421877
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Baysangur Susurkaev,Eric Nolan,-1017,639,-900,725,6,6,0.9104744852282901,0.13531799729364005,1.0457924825219302,0.870607219352619,0.1293927806473809
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Gerald Meerschaert,Michal Oleksiejczuk,175,-218,180,-210,6,6,0.36363636363636365,0.6855345911949685,1.0491709548313322,0.3465940054495913,0.6534059945504087
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Jessica Andrade,Loopy Godinez,115,-140,122,-136,6,6,0.46511627906976744,0.5833333333333334,1.0484496124031009,0.44362292051756,0.5563770794824399
UFC 319,August 17th,https://www.bestfightodds.com/events/ufc-319-3800,Alexander Hernandez,Chase Hooper,286,-373,310,-333,6,6,0.25906735751295334,0.7885835095137421,1.0476508670266955,0.24728405775886403,0.7527159422411359
UFC 320,October 4th,https://www.bestfightodds.com/events/ufc-320-3853,Nikolay Veretennikov,Punahele Soriano,293,-380,320,-333,6,6,0.2544529262086514,0.7916666666666666,1.046119592875318,0.2432350258437215,0.7567649741562785
UFC 320,October 4th,https://www.bestfightodds.com/events/ufc-320-3853,Macy Chiasson,Yana Santos,-206,166,-200,180,6,6,0.673202614379085,0.37593984962406013,1.049142464003145,0.6416693990350837,0.3583306009649164
UFC 320,October 4th,https://www.bestfightodds.com/events/ufc-320-3853,Chris Gutierrez,Farid Basharat,406,-557,430,-500,6,6,0.1976284584980237,0.84779299847793,1.0454214569759537,0.18904189997180196,0.810958100028198
UFC 320,October 4th,https://www.bestfightodds.com/events/ufc-320-3853,Austin Vanderford,Ramiz Brahimaj,-363,272,-275,475,6,6,0.7840172786177105,0.26881720430107525,1.0528344829187857,0.744672872457758,0.25532712754224207
UFC 320,October 4th,https://www.bestfightodds.com/events/ufc-320-3853,Brogan Walker,Veronica Hardy,548,-798,600,-649,6,6,0.15432098765432098,0.888641425389755,1.042962413044076,0.14796409316794748,0.8520359068320525
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Ciryl Gane,Tom Aspinall,307,-394,320,-350,6,6,0.2457002457002457,0.7975708502024291,1.0432710959026747,0.23550949189065498,0.7644905081093452
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Mackenzie Dern,Virna Jandiroba,-144,117,-134,122,6,6,0.5901639344262295,0.4608294930875576,1.050993427513787,0.5615296147211041,0.4384703852788959
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Mario Bautista,Umar Nurmagomedov,454,-632,500,-560,6,6,0.18050541516245489,0.8633879781420765,1.0438933933045313,0.17291556429057375,0.8270844357094262
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Alexander Volkov,Jailton Almeida,156,-192,166,-188,6,6,0.390625,0.6575342465753424,1.0481592465753424,0.3726771492750664,0.6273228507249337
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Aleksandar Rakic,Azamat Murzakanov,-120,33,-110,105,6,6,0.5454545454545454,0.7518796992481203,1.2973342447026657,0.4204425711275026,0.5795574288724974
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Nasrat Haqparast,Quillan Salkilld,69,-125,110,-110,6,6,0.591715976331361,0.5555555555555556,1.1472715318869167,0.5157593123209169,0.48424068767908307
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Ikram Aliskerov,Junyong Park,-219,172,-200,190,6,6,0.6865203761755486,0.36764705882352944,1.0541674349990782,0.6512441509598985,0.34875584904010143
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Ludovit Klein,Mateusz Rebecki,-146,120,-126,130,6,6,0.5934959349593496,0.45454545454545453,1.0480413895048042,0.5662905500705219,0.43370944992947813
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Louie Sutherland,Valter Walker,300,-392,320,-357,6,6,0.25,0.7967479674796748,1.046747967479675,0.23883495145631065,0.7611650485436893
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Jose Delgado,Nathaniel Wood,-157,128,-150,136,6,6,0.6108949416342413,0.43859649122807015,1.0494914328623115,0.5820866397814493,0.41791336021855074
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Chris Barnett,Hamdy Abdelwahab,344,-457,350,-430,6,6,0.22522522522522523,0.8204667863554758,1.045692011580701,0.21538390150343378,0.7846160984965663
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Azat Maksum,Mitch Raposo,-511,367,-455,400,6,6,0.8363338788870703,0.21413276231263384,1.0504666411997041,0.796154628891328,0.20384537110867196
UFC 321 Odds,October 25th,https://www.bestfightodds.com/events/ufc-321-odds-3780,Jaqueline Amorim,Mizuki Inoue,-461,340,-435,380,6,6,0.82174688057041,0.22727272727272727,1.0490196078431373,0.7833474936278675,0.21665250637213251
UFC 322,November 16th,https://www.bestfightodds.com/events/ufc-322-3830,Islam Makhachev,Jack Della Maddalena,-317,247,-300,265,6,6,0.7601918465227818,0.2881844380403458,1.0483762845631277,0.725113547221801,0.2748864527781989
UFC 322,November 16th,https://www.bestfightodds.com/events/ufc-322-3830,Valentina Shevchenko,Zhang Weili,-144,118,-138,122,6,6,0.5901639344262295,0.45871559633027525,1.0488795307565049,0.562661313449957,0.437338686550043
UFC 322,November 16th,https://www.bestfightodds.com/events/ufc-322-3830,Michael Morales,Sean Brady,121,-148,128,-138,6,6,0.45248868778280543,0.5967741935483871,1.0492628813311926,0.43124434861236693,0.568755651387633
UFC 322,November 16th,https://www.bestfightodds.com/events/ufc-322-3830,Carlos Prates,Leon Edwards,-167,136,-154,145,6,6,0.6254681647940075,0.423728813559322,1.0491969783533295,0.5961398838334947,0.4038601161665053
UFC 322,November 16th,https://www.bestfightodds.com/events/ufc-322-3830,Beneil Dariush,Benoit Saint-Denis,164,-204,185,-188,6,6,0.3787878787878788,0.6710526315789473,1.0498405103668262,0.36080516521078615,0.6391948347892138
UFC 322,November 16th,https://www.bestfightodds.com/events/ufc-322-3830,Bo Nickal,Rodolfo Vieira,-250,199,-225,230,6,6,0.7142857142857143,0.33444816053511706,1.0487338748208312,0.6810933940774488,0.31890660592255127
UFC 322,November 16th,https://www.bestfightodds.com/events/ufc-322-3830,Gregory Rodrigues,Roman Kopylov,-194,159,-186,175,6,6,0.6598639455782312,0.3861003861003861,1.0459643316786174,0.6308665846370188,0.3691334153629812
UFC 322,November 16th,https://www.bestfightodds.com/events/ufc-322-3830,Erin Blanchfield,Tracy Cortez,-338,260,-275,320,6,6,0.771689497716895,0.2777777777777778,1.0494672754946728,0.7353154459753445,0.26468455402465557
UFC 322,November 16th,https://www.bestfightodds.com/events/ufc-322-3830,Ethyn Ewing,Malcolm Wellmaker,333,-452,360,-420,6,6,0.23094688221709006,0.8188405797101449,1.049787461927235,0.2199939421957946,0.7800060578042054
UFC 322,November 16th,https://www.bestfightodds.com/events/ufc-322-3830,Gerald Meerschaert,Kyle Daukaus,380,-515,400,-480,6,6,0.20833333333333334,0.8373983739837398,1.045731707317073,0.1992225461613217,0.8007774538386784
UFC 322,November 16th,https://www.bestfightodds.com/events/ufc-322-3830,Chepe Mariscal,Pat Sabbatini,-70,-119,105,-110,6,6,0.4117647058823529,0.54337899543379,0.9551437013161429,0.43110236220472437,0.5688976377952756
UFC 322,November 16th,https://www.bestfightodds.com/events/ufc-322-3830,Angela Hill,Fatima Kline,393,-540,440,-500,6,6,0.2028397565922921,0.84375,1.0465897565922921,0.19381018714796194,0.806189812852038
UFC 323,December 6th,https://www.bestfightodds.com/events/ufc-323-3951,Antonio Trocoli,Mansur Abdul-Malik,813,-1485,980,-1250,6,6,0.10952902519167579,0.9369085173501577,1.0464375425418335,0.10466847827881437,0.8953315217211856
UFC 323,December 6th,https://www.bestfightodds.com/events/ufc-323-3951,Mairon Santos,Muhammad Naimov,-243,198,-227,200,6,6,0.7084548104956269,0.33557046979865773,1.0440252802942847,0.6785801300672826,0.3214198699327173
UFC 324,January 24th,https://www.bestfightodds.com/events/ufc-324-3973,Denzel Freeman,Josh Hokit,208,-261,225,-225,6,6,0.3246753246753247,0.7229916897506925,1.0476670144260172,0.30990316599134676,0.6900968340086533
UFC 324,January 24th,https://www.bestfightodds.com/events/ufc-324-3973,Alexander Hernandez,Michael Johnson,-116,-66,-109,110,5,5,0.5370370370370371,0.39759036144578314,0.9346273984828202,0.574600143232275,0.425399856767725
UFC 324,January 24th,https://www.bestfightodds.com/events/ufc-324-3973,Adam Fugitt,Ty Miller,378,-512,425,-420,6,6,0.20920502092050208,0.8366013071895425,1.0458063281100447,0.20004183881596146,0.7999581611840384
UFC 326,March 7th,https://www.bestfightodds.com/events/ufc-326-4065,Jesus Aguilar,Sumudaerji Sumudaerji,149,-182,163,-155,5,5,0.40160642570281124,0.6453900709219859,1.046996496624797,0.3835795315432955,0.6164204684567045
UFC 326,March 7th,https://www.bestfightodds.com/events/ufc-326-4065,Diyar Nurgozhay,Rafael Tobias,146,-181,150,-174,5,5,0.4065040650406504,0.6441281138790036,1.050632178919654,0.3869137774350783,0.6130862225649216
UFC 326,March 7th,https://www.bestfightodds.com/events/ufc-326-4065,Luke Fernandez,Rodolfo Bellato,-233,186,-220,190,5,5,0.6996996996996997,0.34965034965034963,1.0493500493500494,0.6667934119153875,0.33320658808461245
UFC 327,April 11th,https://www.bestfightodds.com/events/ufc-327-4074,Azamat Murzakanov,Paulo Costa,-185,137,207,230,6,6,0.6491228070175439,0.4219409282700422,1.071063735287586,0.6060543230354551,0.3939456769645449
UFC 327,April 11th,https://www.bestfightodds.com/events/ufc-327-4074,Carlos Ulberg,Jiri Prochazka,-851,257,-100,2236,7,7,0.8948475289169295,0.2801120448179272,1.1749595737348568,0.7615985680872984,0.23840143191270144
UFC 327,April 11th,https://www.bestfightodds.com/events/ufc-327-4074,Curtis Blaydes,Josh Hokit,87,-224,838,100,7,7,0.5347593582887701,0.691358024691358,1.226117382980128,0.43614042644841705,0.563859573551583
UFC 327,April 11th,https://www.bestfightodds.com/events/ufc-327-4074,Dominick Reyes,Johnny Walker,-168,112,-108,175,7,7,0.6268656716417911,0.4716981132075472,1.0985637848493384,0.5706229172007177,0.42937708279928216
UFC 327,April 11th,https://www.bestfightodds.com/events/ufc-327-4074,Cub Swanson,Nate Landwehr,-176,118,-110,372,7,7,0.6376811594202898,0.45871559633027525,1.0963967557505652,0.5816153286441911,0.41838467135580887
UFC 327,April 11th,https://www.bestfightodds.com/events/ufc-327-4074,Aaron Pico,Patricio Freire,-2004,934,-265,4566,6,6,0.9524714828897338,0.09671179883945841,1.0491832817291922,0.9078218262493999,0.09217817375060021
UFC 327,April 11th,https://www.bestfightodds.com/events/ufc-327-4074,Kevin Holland,Randy Brown,-862,462,-104,3013,7,7,0.896049896049896,0.17793594306049823,1.0739858391103942,0.834321890866004,0.16567810913399605
UFC 327,April 11th,https://www.bestfightodds.com/events/ufc-327-4074,Esteban Ribovics,Mateusz Gamrot,358,-474,1238,-188,6,6,0.2183406113537118,0.8257839721254355,1.0441245834791473,0.209113562508197,0.7908864374918031
UFC 327,April 11th,https://www.bestfightodds.com/events/ufc-327-4074,Lupita Godinez,Tatiana Suarez,200,-255,572,-150,7,7,0.3333333333333333,0.7183098591549296,1.051643192488263,0.3169642857142857,0.6830357142857143
UFC 327,April 11th,https://www.bestfightodds.com/events/ufc-327-4074,Chris Padilla,Marquel Mederos,-896,769,-150,4566,7,7,0.8995983935742972,0.11507479861910241,1.0146731921933996,0.88658929840223,0.11341070159777004
UFC 327,April 11th,https://www.bestfightodds.com/events/ufc-327-4074,Kelvin Gastelum,Vicente Luque,-249,164,-126,235,6,6,0.7134670487106017,0.3787878787878788,1.0922549274984805,0.6532056123057355,0.34679438769426446
UFC 327,April 11th,https://www.bestfightodds.com/events/ufc-327-4074,Charles Radtke,Francisco Prado,-513,371,-150,1770,7,7,0.8368678629690048,0.21231422505307856,1.0491820880220835,0.7976383437375174,0.20236165626248256
